level,hybas_id,pfaf_id,src_tile,next_down,next_down_scope,next_sink,next_sink_scope,main_bas,main_bas_scope,lake,endo,side
1,2010000010,2,eu,0,terminal,2010000010,inside_selection,2010000010,inside_selection,0,0,M
1,4010000010,4,as,0,terminal,4010000010,inside_selection,4010000010,inside_selection,0,0,M
2,2020065840,28,eu,0,terminal,2020065840,inside_selection,2020065840,inside_selection,0,2,M
2,4020050220,46,as,0,terminal,4020050220,inside_selection,4020050220,inside_selection,0,2,M
3,2030065840,281,eu,0,terminal,2030065840,inside_selection,2030065840,inside_selection,0,2,M
3,2030066850,282,eu,0,terminal,2030066850,inside_selection,2030066850,inside_selection,0,2,M
3,4030050220,461,as,0,terminal,4030050220,inside_selection,4030050220,inside_selection,0,2,M
3,4030050240,462,as,0,terminal,4030050240,inside_selection,4030050240,inside_selection,0,2,M
4,2040066340,2816,eu,0,terminal,2040066340,inside_selection,2040066340,inside_selection,0,2,M
4,2040085500,2810,eu,0,terminal,2040085500,inside_selection,2040085500,inside_selection,0,2,M
4,2040085880,2820,eu,0,terminal,2040085880,inside_selection,2040085880,inside_selection,0,2,M
4,4049000030,4611,as,0,terminal,4049000030,inside_selection,4049000030,inside_selection,1,2,M
4,4040274280,4613,as,4049000030,inside_selection,4049000030,inside_selection,4049000030,inside_selection,0,1,M
4,4040273960,4612,as,4049000030,inside_selection,4049000030,inside_selection,4049000030,inside_selection,0,1,M
4,4040274300,4614,as,4049000030,inside_selection,4049000030,inside_selection,4049000030,inside_selection,0,1,M
4,4040050220,4611,as,4049000030,inside_selection,4049000030,inside_selection,4049000030,inside_selection,0,1,M
4,4040484700,4616,as,4040482720,outside_selection,4049000030,inside_selection,4049000030,inside_selection,0,1,M
4,4040484760,4617,as,4040482720,outside_selection,4049000030,inside_selection,4049000030,inside_selection,0,1,M
4,4040050240,4621,as,4049000030,inside_selection,4049000030,inside_selection,4049000030,inside_selection,0,1,M
4,4040050300,4626,as,0,terminal,4040050300,inside_selection,4040050300,inside_selection,0,2,M
4,4040050360,4610,as,0,terminal,4040050360,inside_selection,4040050360,inside_selection,0,2,M
5,2050066340,28160,eu,0,terminal,2050066340,inside_selection,2050066340,inside_selection,0,2,M
5,2050085610,28100,eu,2059002380,outside_selection,2059002380,outside_selection,2059002380,outside_selection,0,1,M
5,2050085880,28204,eu,0,terminal,2050085880,inside_selection,2050085880,inside_selection,0,2,M
5,2050086160,28207,eu,0,terminal,2050086160,inside_selection,2050086160,inside_selection,0,2,M
5,2050086180,28208,eu,0,terminal,2050086180,inside_selection,2050086180,inside_selection,0,2,M
5,2050087930,28203,eu,0,terminal,2050087930,inside_selection,2050087930,inside_selection,0,2,M
5,2050090240,28205,eu,0,terminal,2050090240,inside_selection,2050090240,inside_selection,0,2,M
5,2050093260,28206,eu,0,terminal,2050093260,inside_selection,2050093260,inside_selection,0,2,M
5,4059000030,46110,as,0,terminal,4059000030,inside_selection,4059000030,inside_selection,1,2,M
5,4050274280,46130,as,4059000030,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050273960,46120,as,4059000030,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050274300,46140,as,4059000030,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050050220,46110,as,4059000030,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4059005610,46120,as,4050273960,inside_selection,4059000030,inside_selection,4059000030,inside_selection,1,1,M
5,4050484700,46160,as,4050482720,outside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050496830,46173,as,4050484760,outside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050531200,46175,as,4050496830,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050538040,46177,as,4050531200,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050355280,46215,as,4050237450,outside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050355290,46214,as,4050237450,outside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4059002390,46215,as,4050355280,inside_selection,4059000030,inside_selection,4059000030,inside_selection,2,1,M
5,4050411980,46216,as,4059002390,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050411990,46217,as,4059002390,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050421200,46218,as,4050411990,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050420980,46219,as,4050411990,inside_selection,4059000030,inside_selection,4059000030,inside_selection,0,1,M
5,4050050350,46264,as,0,terminal,4050050350,inside_selection,4050050350,inside_selection,0,2,M
5,4050050360,46101,as,0,terminal,4050050360,inside_selection,4050050360,inside_selection,0,2,M
5,4050050540,46102,as,0,terminal,4050050540,inside_selection,4050050540,inside_selection,0,2,M
5,4050050960,46106,as,0,terminal,4050050960,inside_selection,4050050960,inside_selection,0,2,M
5,4050051400,46104,as,0,terminal,4050051400,inside_selection,4050051400,inside_selection,0,2,M
5,4050051420,46107,as,0,terminal,4050051420,inside_selection,4050051420,inside_selection,0,2,M
5,4050051720,46105,as,0,terminal,4050051720,inside_selection,4050051720,inside_selection,0,2,M
5,4050051930,46103,as,0,terminal,4050051930,inside_selection,4050051930,inside_selection,0,2,M
5,4050052570,46108,as,0,terminal,4050052570,inside_selection,4050052570,inside_selection,0,2,M
6,2060085610,281001,eu,2069002380,outside_selection,2069002380,outside_selection,2069002380,outside_selection,0,1,M
6,2060085880,282040,eu,0,terminal,2060085880,inside_selection,2060085880,inside_selection,0,2,M
6,2060086030,281007,eu,0,terminal,2060086030,inside_selection,2060086030,inside_selection,0,2,M
6,2060086160,282070,eu,0,terminal,2060086160,inside_selection,2060086160,inside_selection,0,2,M
6,2060086180,282080,eu,0,terminal,2060086180,inside_selection,2060086180,inside_selection,0,2,M
6,2060086440,281006,eu,0,terminal,2060086440,inside_selection,2060086440,inside_selection,0,2,M
6,2060086960,281600,eu,2060066340,outside_selection,2060086960,inside_selection,2060066340,outside_selection,0,2,M
6,2060087930,282030,eu,0,terminal,2060087930,inside_selection,2060087930,inside_selection,0,2,M
6,2060089170,281005,eu,0,terminal,2060089170,inside_selection,2060089170,inside_selection,0,2,M
6,2060090240,282050,eu,0,terminal,2060090240,inside_selection,2060090240,inside_selection,0,2,M
6,2060093260,282060,eu,0,terminal,2060093260,inside_selection,2060093260,inside_selection,0,2,M
6,4069000030,461101,as,0,terminal,4069000030,inside_selection,4069000030,inside_selection,1,2,M
6,4060282100,461303,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060255700,461205,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060276550,461403,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060276370,461402,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060281940,461302,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060274290,461102,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060319630,461405,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060319830,461404,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060270580,461207,as,4069000030,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060326690,461407,as,4060319630,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060326790,461406,as,4060319630,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060328420,461209,as,4060270580,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4069005610,461209,as,4060328420,inside_selection,4069000030,inside_selection,4069000030,inside_selection,1,1,M
6,4060328430,461208,as,4060270580,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060441530,461304,as,4060282100,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060441780,461305,as,4060282100,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060469510,461307,as,4060441780,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060469270,461306,as,4060441780,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060484700,461601,as,4060482720,outside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060480960,461603,as,4060484700,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060481170,461602,as,4060484700,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060496830,461730,as,4060484760,outside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060470980,461604,as,4060480960,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060470930,461605,as,4060480960,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060531200,461750,as,4060496830,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060456210,461606,as,4060470930,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060456310,461607,as,4060470930,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
6,4060538040,461771,as,4060531200,inside_selection,4069000030,inside_selection,4069000030,inside_selection,0,1,M
