child_level,child_pfaf_id,parent_level,parent_pfaf_id,parent_selected
2,28,1,2,1
2,46,1,4,1
3,281,2,28,1
3,282,2,28,1
3,461,2,46,1
3,462,2,46,1
4,2810,3,281,1
4,2816,3,281,1
4,2820,3,282,1
4,4610,3,461,1
4,4611,3,461,1
4,4612,3,461,1
4,4613,3,461,1
4,4614,3,461,1
4,4616,3,461,1
4,4617,3,461,1
4,4621,3,462,1
4,4626,3,462,1
5,28100,4,2810,1
5,28160,4,2816,1
5,28203,4,2820,1
5,28204,4,2820,1
5,28205,4,2820,1
5,28206,4,2820,1
5,28207,4,2820,1
5,28208,4,2820,1
5,46101,4,4610,1
5,46102,4,4610,1
5,46103,4,4610,1
5,46104,4,4610,1
5,46105,4,4610,1
5,46106,4,4610,1
5,46107,4,4610,1
5,46108,4,4610,1
5,46110,4,4611,1
5,46120,4,4612,1
5,46130,4,4613,1
5,46140,4,4614,1
5,46160,4,4616,1
5,46173,4,4617,1
5,46175,4,4617,1
5,46177,4,4617,1
5,46214,4,4621,1
5,46215,4,4621,1
5,46216,4,4621,1
5,46217,4,4621,1
5,46218,4,4621,1
5,46219,4,4621,1
5,46264,4,4626,1
6,281001,5,28100,1
6,281005,5,28100,1
6,281006,5,28100,1
6,281007,5,28100,1
6,281600,5,28160,1
6,282030,5,28203,1
6,282040,5,28204,1
6,282050,5,28205,1
6,282060,5,28206,1
6,282070,5,28207,1
6,282080,5,28208,1
6,461011,5,46101,1
6,461012,5,46101,1
6,461013,5,46101,1
6,461014,5,46101,1
6,461015,5,46101,1
6,461016,5,46101,1
6,461019,5,46101,1
6,461020,5,46102,1
6,461030,5,46103,1
6,461040,5,46104,1
6,461050,5,46105,1
6,461060,5,46106,1
6,461070,5,46107,1
6,461080,5,46108,1
6,461101,5,46110,1
6,461102,5,46110,1
6,461200,5,46120,1
6,461205,5,46120,1
6,461207,5,46120,1
6,461208,5,46120,1
6,461209,5,46120,1
6,461302,5,46130,1
6,461303,5,46130,1
6,461304,5,46130,1
6,461305,5,46130,1
6,461306,5,46130,1
6,461307,5,46130,1
6,461402,5,46140,1
6,461403,5,46140,1
6,461404,5,46140,1
6,461405,5,46140,1
6,461406,5,46140,1
6,461407,5,46140,1
6,461600,5,46160,1
6,461601,5,46160,1
6,461602,5,46160,1
6,461603,5,46160,1
6,461604,5,46160,1
6,461605,5,46160,1
6,461606,5,46160,1
6,461607,5,46160,1
6,461608,5,46160,1
6,461730,5,46173,1
6,461750,5,46175,1
6,461771,5,46177,1
6,461772,5,46177,1
6,461773,5,46177,1
6,461774,5,46177,1
6,461775,5,46177,1
6,461778,5,46177,1
6,462140,5,46214,1
6,462150,5,46215,1
6,462161,5,46216,1
6,462162,5,46216,1
6,462163,5,46216,1
6,462164,5,46216,1
6,462165,5,46216,1
6,462166,5,46216,1
6,462167,5,46216,1
6,462168,5,46216,1
6,462169,5,46216,1
6,462171,5,46217,1
6,462172,5,46217,1
6,462173,5,46217,1
6,462174,5,46217,1
6,462175,5,46217,1
6,462176,5,46217,1
6,462177,5,46217,1
6,462178,5,46217,1
6,462179,5,46217,1
6,462180,5,46218,1
6,462191,5,46219,1
6,462648,5,46264,1
6,462649,5,46264,1
7,2810013,6,281001,1
7,2810014,6,281001,1
7,2810015,6,281001,1
7,2810016,6,281001,1
7,2810017,6,281001,1
7,2810018,6,281001,1
7,2810019,6,281001,1
7,2810050,6,281005,1
7,2810061,6,281006,1
7,2810062,6,281006,1
7,2810063,6,281006,1
7,2810064,6,281006,1
7,2810065,6,281006,1
7,2810066,6,281006,1
7,2810070,6,281007,1
7,2810071,6,281007,1
7,2810072,6,281007,1
7,2810073,6,281007,1
7,2810074,6,281007,1
7,2810075,6,281007,1
7,2810076,6,281007,1
7,2810077,6,281007,1
7,2816004,6,281600,1
7,2816005,6,281600,1
7,2820302,6,282030,1
7,2820303,6,282030,1
7,2820304,6,282030,1
7,2820305,6,282030,1
7,2820306,6,282030,1
7,2820307,6,282030,1
7,2820308,6,282030,1
7,2820401,6,282040,1
7,2820402,6,282040,1
7,2820403,6,282040,1
7,2820404,6,282040,1
7,2820405,6,282040,1
7,2820406,6,282040,1
7,2820407,6,282040,1
7,2820408,6,282040,1
7,2820409,6,282040,1
7,2820500,6,282050,1
7,2820600,6,282060,1
7,2820702,6,282070,1
7,2820703,6,282070,1
7,2820801,6,282080,1
7,2820802,6,282080,1
7,4610111,6,461011,1
7,4610112,6,461011,1
7,4610113,6,461011,1
7,4610114,6,461011,1
7,4610115,6,461011,1
7,4610116,6,461011,1
7,4610118,6,461011,1
7,4610120,6,461012,1
7,4610130,6,461013,1
7,4610140,6,461014,1
7,4610150,6,461015,1
7,4610160,6,461016,1
7,4610190,6,461019,1
7,4610202,6,461020,1
7,4610204,6,461020,1
7,4610206,6,461020,1
7,4610208,6,461020,1
7,4610209,6,461020,1
7,4610301,6,461030,1
7,4610302,6,461030,1
7,4610303,6,461030,1
7,4610304,6,461030,1
7,4610305,6,461030,1
7,4610306,6,461030,1
7,4610307,6,461030,1
7,4610308,6,461030,1
7,4610401,6,461040,1
7,4610402,6,461040,1
7,4610403,6,461040,1
7,4610404,6,461040,1
7,4610405,6,461040,1
7,4610406,6,461040,1
7,4610407,6,461040,1
7,4610408,6,461040,1
7,4610409,6,461040,1
7,4610501,6,461050,1
7,4610502,6,461050,1
7,4610503,6,461050,1
7,4610504,6,461050,1
7,4610505,6,461050,1
7,4610506,6,461050,1
7,4610507,6,461050,1
7,4610508,6,461050,1
7,4610509,6,461050,1
7,4610601,6,461060,1
7,4610602,6,461060,1
7,4610603,6,461060,1
7,4610604,6,461060,1
7,4610605,6,461060,1
7,4610606,6,461060,1
7,4610607,6,461060,1
7,4610608,6,461060,1
7,4610701,6,461070,1
7,4610702,6,461070,1
7,4610703,6,461070,1
7,4610704,6,461070,1
7,4610705,6,461070,1
7,4610706,6,461070,1
7,4610707,6,461070,1
7,4610708,6,461070,1
7,4610709,6,461070,1
7,4610800,6,461080,1
7,4611010,6,461101,1
7,4611020,6,461102,1
7,4611022,6,461102,1
7,4611023,6,461102,1
7,4611024,6,461102,1
7,4611025,6,461102,1
7,4611026,6,461102,1
7,4611027,6,461102,1
7,4611028,6,461102,1
7,4611029,6,461102,1
7,4612000,6,461200,1
7,4612050,6,461205,1
7,4612070,6,461207,1
7,4612080,6,461208,1
7,4612090,6,461209,1
7,4613020,6,461302,1
7,4613032,6,461303,1
7,4613033,6,461303,1
7,4613034,6,461303,1
7,4613035,6,461303,1
7,4613036,6,461303,1
7,4613037,6,461303,1
7,4613038,6,461303,1
7,4613039,6,461303,1
7,4613040,6,461304,1
7,4613050,6,461305,1
7,4613060,6,461306,1
7,4613070,6,461307,1
7,4614022,6,461402,1
7,4614030,6,461403,1
7,4614040,6,461404,1
7,4614050,6,461405,1
7,4614060,6,461406,1
7,4614070,6,461407,1
7,4616000,6,461600,1
7,4616010,6,461601,1
7,4616020,6,461602,1
7,4616030,6,461603,1
7,4616040,6,461604,1
7,4616041,6,461604,1
7,4616042,6,461604,1
7,4616043,6,461604,1
7,4616044,6,461604,1
7,4616045,6,461604,1
7,4616046,6,461604,1
7,4616047,6,461604,1
7,4616048,6,461604,1
7,4616049,6,461604,1
7,4616050,6,461605,1
7,4616060,6,461606,1
7,4616071,6,461607,1
7,4616072,6,461607,1
7,4616073,6,461607,1
7,4616074,6,461607,1
7,4616075,6,461607,1
7,4616076,6,461607,1
7,4616077,6,461607,1
7,4616078,6,461607,1
7,4616079,6,461607,1
7,4616080,6,461608,1
7,4617302,6,461730,1
7,4617304,6,461730,1
7,4617306,6,461730,1
7,4617307,6,461730,1
7,4617308,6,461730,1
7,4617500,6,461750,1
7,4617710,6,461771,1
7,4617720,6,461772,1
7,4617730,6,461773,1
7,4617741,6,461774,1
7,4617742,6,461774,1
7,4617743,6,461774,1
7,4617744,6,461774,1
7,4617745,6,461774,1
7,4617746,6,461774,1
7,4617747,6,461774,1
7,4617748,6,461774,1
7,4617749,6,461774,1
7,4617750,6,461775,1
7,4617781,6,461778,1
7,4621404,6,462140,1
7,4621509,6,462150,1
7,4621610,6,462161,1
7,4621620,6,462162,1
7,4621630,6,462163,1
7,4621640,6,462164,1
7,4621650,6,462165,1
7,4621661,6,462166,1
7,4621662,6,462166,1
7,4621663,6,462166,1
7,4621664,6,462166,1
7,4621665,6,462166,1
7,4621666,6,462166,1
7,4621667,6,462166,1
7,4621668,6,462166,1
7,4621669,6,462166,1
7,4621670,6,462167,1
7,4621680,6,462168,1
7,4621690,6,462169,1
7,4621711,6,462171,1
7,4621713,6,462171,1
7,4621714,6,462171,1
7,4621715,6,462171,1
7,4621716,6,462171,1
7,4621717,6,462171,1
7,4621718,6,462171,1
7,4621719,6,462171,1
7,4621721,6,462172,1
7,4621722,6,462172,1
7,4621723,6,462172,1
7,4621724,6,462172,1
7,4621725,6,462172,1
7,4621726,6,462172,1
7,4621727,6,462172,1
7,4621728,6,462172,1
7,4621730,6,462173,1
7,4621740,6,462174,1
7,4621751,6,462175,1
7,4621752,6,462175,1
7,4621753,6,462175,1
7,4621755,6,462175,1
7,4621756,6,462175,1
7,4621757,6,462175,1
7,4621758,6,462175,1
7,4621759,6,462175,1
7,4621760,6,462176,1
7,4621770,6,462177,1
7,4621781,6,462178,1
7,4621782,6,462178,1
7,4621783,6,462178,1
7,4621784,6,462178,1
7,4621785,6,462178,1
7,4621787,6,462178,1
7,4621790,6,462179,1
7,4621801,6,462180,1
7,4621802,6,462180,1
7,4621803,6,462180,1
7,4621804,6,462180,1
7,4621805,6,462180,1
7,4621807,6,462180,1
7,4621911,6,462191,1
7,4621912,6,462191,1
7,4621913,6,462191,1
7,4626488,6,462648,1
7,4626493,6,462649,1
8,28100133,7,2810013,1
8,28100134,7,2810013,1
8,28100135,7,2810013,1
8,28100136,7,2810013,1
8,28100140,7,2810014,1
8,28100142,7,2810014,1
8,28100144,7,2810014,1
8,28100145,7,2810014,1
8,28100146,7,2810014,1
8,28100147,7,2810014,1
8,28100148,7,2810014,1
8,28100149,7,2810014,1
