pcode,unit_name,year,class_code,class_name,km2
UZ22220,Termez,2017,1,Water,37.0987
UZ22220,Termez,2017,2,Trees,0.6466
UZ22220,Termez,2017,4,Flooded vegetation,3.9361
UZ22220,Termez,2017,5,Crops,184.2525
UZ22220,Termez,2017,7,Built area,83.1481
UZ22220,Termez,2017,8,Bare ground,143.3824
UZ22220,Termez,2017,11,Rangeland,383.9995
UZ22220,Termez,2025,1,Water,33.8133
UZ22220,Termez,2025,2,Trees,0.0154
UZ22220,Termez,2025,4,Flooded vegetation,2.3368
UZ22220,Termez,2025,5,Crops,157.2081
UZ22220,Termez,2025,7,Built area,97.9509
UZ22220,Termez,2025,8,Bare ground,82.2834
UZ22220,Termez,2025,11,Rangeland,462.856
UZ12238,Nurata,2017,1,Water,588.6236
UZ12238,Nurata,2017,2,Trees,1.2128
UZ12238,Nurata,2017,4,Flooded vegetation,2.8297
UZ12238,Nurata,2017,5,Crops,381.7826
UZ12238,Nurata,2017,7,Built area,106.7888
UZ12238,Nurata,2017,8,Bare ground,364.6818
UZ12238,Nurata,2017,9,Snow/ice,0.0064
UZ12238,Nurata,2017,11,Rangeland,5871.5156
UZ12238,Nurata,2025,1,Water,550.7461
UZ12238,Nurata,2025,2,Trees,1.0403
UZ12238,Nurata,2025,4,Flooded vegetation,0.5223
UZ12238,Nurata,2025,5,Crops,401.6133
UZ12238,Nurata,2025,7,Built area,136.7284
UZ12238,Nurata,2025,8,Bare ground,42.3757
UZ12238,Nurata,2025,9,Snow/ice,0.0003
UZ12238,Nurata,2025,11,Rangeland,6184.4149
UZ12401,Navoi city,2017,7,Built area,0.254
UZ12401,Navoi city,2017,8,Bare ground,1.9597
UZ12401,Navoi city,2017,11,Rangeland,11.014
UZ12401,Navoi city,2025,1,Water,0.0019
UZ12401,Navoi city,2025,7,Built area,0.5338
UZ12401,Navoi city,2025,8,Bare ground,1.3021
UZ12401,Navoi city,2025,11,Rangeland,11.3899
