recipe_version,mode
copernicus_lc@37d45438c348,annual_extension
copernicus_lc_regional@0c6c31225490,annual_extension
dated_monthly@af8e9b267b46,annual_extension
dated_snow@cd03d342b0fa,annual_extension
dated_snow@ed5216826e7f,annual_extension
dem_terrain@37d45438c348,annual_extension
derive_climatology@a2a913915d53,annual_extension
dmsp_lights@37d45438c348,annual_extension
dmsp_lights_regional@a50082234cd1,annual_extension
ecoregions@37d45438c348,annual_extension
era5_runoff@37d45438c348,annual_extension
gfsad@37d45438c348,annual_extension
gfsad_regional@89a793a40f26,annual_extension
ghsl@37d45438c348,annual_extension
ghsl_regional@a50082234cd1,annual_extension
glims@37d45438c348,annual_extension
glims_regional@0d59aaf1881e,annual_extension
glims_regional@3b02341ffcfe,annual_extension
glims_regional@ed7c593356b5,annual_extension
gpw@37d45438c348,annual_extension
gpw_regional@a50082234cd1,annual_extension
human_modification@37d45438c348,annual_extension
human_modification_regional@a50082234cd1,annual_extension
hydrolakes@37d45438c348,annual_extension
import.basinatlas.v10@37d45438c348,reference_import
modis_snow@37d45438c348,annual_extension
openlandmap_soil@37d45438c348,annual_extension
openlandmap_soil_regional@89a793a40f26,annual_extension
pnv_biome@37d45438c348,annual_extension
pnv_biome_regional@35cfd1110cc4,annual_extension
prepare_ele@37d45438c348,baseline_reproduction_candidate
prepare_pre@37d45438c348,baseline_reproduction_candidate
prepare_tmp@37d45438c348,baseline_reproduction_candidate
surface_water@37d45438c348,annual_extension
surface_water_regional@a50082234cd1,annual_extension
terraclimate@37d45438c348,annual_extension
upstream_annuals@c1b87dc35a92,annual_extension
wdpa@37d45438c348,annual_extension
wdpa_regional@0d59aaf1881e,annual_extension
wdpa_regional@3b02341ffcfe,annual_extension
