date,observed_mm,simulated_mm,snow_water_equivalent_mm,temperature_c,precipitation_mm,period
2000-01-01,nan,0.0,0.04,-10.691662339428683,0.03489185869337364,unused
2000-01-02,nan,0.0,0.05,-8.850195524505686,0.009037303611290022,unused
2000-01-03,nan,0.0,0.05,-7.2386089225662875,0.0004410743663640916,unused
2000-01-04,nan,0.0,0.05,-6.273404000995568,0.0017225924011654561,unused
2000-01-05,nan,0.0,0.08,-6.460943153899942,0.02578045015384342,unused
2000-01-06,nan,0.0004,12.62,-7.934093527589554,11.731894206170633,unused
2000-01-07,nan,0.001,28.08,-6.66553317030364,14.459838228114851,unused
2000-01-08,nan,0.0013,47.7,-10.4134946039119,16.157915793029968,unused
2000-01-09,nan,0.0013,48.69,-16.16471967206692,0.7628221413619308,unused
2000-01-10,nan,0.0013,48.7,-16.708080280686236,0.0017595850284196585,unused
2000-01-11,nan,0.0013,48.7,-15.823596867964783,0.0,unused
2000-01-12,nan,0.0013,48.7,-15.39452488198998,0.000436853466950879,unused
2000-01-13,nan,0.0012,48.7,-20.11447825746151,0.004273954372765388,unused
2000-01-14,nan,0.0012,48.71,-22.56112711269183,0.0040312766337080716,unused
2000-01-15,nan,0.0012,48.71,-19.559172274127583,0.0016173694022459707,unused
2000-01-16,nan,0.0012,48.71,-17.01724700850272,0.000852346317969932,unused
2000-01-17,nan,0.0012,49.95,-13.94297907103589,0.9570381305878001,unused
2000-01-18,nan,0.0013,57.34,-11.571194694184099,6.149887955327248,unused
2000-01-19,nan,0.0013,57.38,-14.76127824746365,0.03349716094797957,unused
2000-01-20,nan,0.0014,62.71,-11.580657260283076,4.408525553854504,unused
2000-01-21,nan,0.0014,62.67,-10.398507552851985,0.0022384063874990043,unused
2000-01-22,nan,0.0014,63.87,-10.221351827528224,0.9869707696111288,unused
2000-01-23,nan,0.0015,70.78,-11.54470905208351,5.69398082574343,unused
2000-01-24,nan,0.0015,71.98,-12.119428072854772,0.9419661691682896,unused
2000-01-25,nan,0.0015,72.44,-13.263382698743364,0.3674557869646582,unused
2000-01-26,nan,0.0015,72.44,-14.242450571418146,0.001295127388024288,unused
