year,volume_mcm,winter_precip_mm,march_temperature_c,march_swe_mm,march_snow_percent,march_snow40_percent,march_snow_days
2001,1945.6243200000001,608.4489109751543,-3.9980850591129604,542.9863055992915,95.80072181172633,93.73219439835053,15
2004,2110.4582400000004,728.8799397762518,-5.303126431348631,555.4341230077217,96.036327001824,94.91234435472202,10
2005,2201.3942399999996,822.4508706849363,-3.4550109323926512,677.5097912850958,97.78734679447223,96.82566141957862,14
2007,1901.7072,787.1901827903677,-6.885040382303954,514.7999723161931,98.68651656735256,97.93435265713636,18
2008,1515.5596799999998,563.4938721361158,-3.2794678038605403,475.6900532820688,90.35541438885596,86.08424283011631,10
2009,2183.63904,714.1218214517496,-4.982863430712842,587.3663899257956,96.27612710781095,94.86991262700361,11
2011,1477.21536,532.6371493240769,-6.2872917167213895,364.49550177857736,97.57672293828055,96.70248272010949,13
2012,1816.13664,750.6938002773451,-8.209271152404433,619.4563712445255,99.89157157220872,99.77499546934743,11
2014,1525.4784,659.0939631575807,-6.031581602397424,569.9699799209903,99.12791103373351,98.73648840526369,10
2015,1739.42208,755.2047356005127,-6.770185034266596,565.2131558758234,98.20804167304627,97.33673441515349,15
