path,role,bytes,sha256,available,changed_since_recorded
PUBLISHED/data/hydroclimate/pskem-station-monthly.csv,observation record input,338563,76f603898a6df08d754a06b7451d4538e5f94cfc118b5ce4aff10934cedd50f4,TRUE,FALSE
PUBLISHED/data/hydroclimate/pskem-discharge-daily.csv,observation record input,735817,59bc0a09264ef9c6260f5772d555dd66a62a0d82cd7acaedebbec5ad7688b88e,TRUE,FALSE
PUBLISHED/data/hydroclimate/pskem-station-basin-links.csv,observation record input,896,c1634c6ed61bd8bd7bba130e6aa15f500acfb8e72833357d65428f5bde38eb4a,TRUE,FALSE
PUBLISHED/data/hydroclimate/pskem-observations.manifest.json,observation record input,5190,b1780fd892676fd270601320730c98f66d994e49edb4ef2237fef58dd3debd3d,TRUE,FALSE
PUBLISHED/data/hydroclimate/basin-routing-level12.csv,observation record input,677577,5ac04a7f060bc6c2d059c8446891933e3ebf82a2a3fe6d3205e5fb35f96f9f73,TRUE,FALSE
PUBLISHED/data/hydroclimate/basins-level12.geojson,observation record input,20844898,9ce2e5fa1416719043d927fa51fc9c42be7f84eacb3dd8f0f088a3a88e21d84f,TRUE,FALSE
PUBLISHED/data/case-studies/station-product-monthly.csv,observation record input,300394,4d695375ce4f66c788dbaabbd859d2247db125adea60b581e939467b5c927ef2,TRUE,FALSE
CASE_STUDIES/chirchik-portfolio.json,observation record input,19769,2796870a737ad3568bf300a8fc12b438cbb726b1fa33a42eef45958d65f93d00,TRUE,FALSE
PIPELINES/build_chirchik_case_studies.py,observation record input,27037,852d53ac66fd01cb0bec1422b830f4140df82138366598c407b59804b1608577,TRUE,FALSE
PUBLISHED/data/case-studies/sabitov-daily-forcing.csv,daily model input,636603,253fbb29f3048e0b0d2739549806733d069fa03d614d5dab0cf4e89f731aa4f9,TRUE,FALSE
PUBLISHED/data/case-studies/pskem-candidate-catchment.geojson,daily model input,117502,0b22c06bb0fc9985969d24d5b117f174bf2cc1e169eb4804bf67bfff85be971b,TRUE,FALSE
PUBLISHED/data/case-studies/model-audit/chronological-20260909/pskem-daily-model.json,chronological re-test input,7971,031d50159953c4742bc26c41731642b369a55ca25beaa2daf931e20973ef68ab,TRUE,FALSE
PUBLISHED/data/case-studies/model-audit/chronological-20260909/pskem-daily-model.csv,chronological re-test input,535969,bbf3accca98ac5fe6a4645ed57b6530dce071f16ddc66dd60863069a280fa472,TRUE,FALSE
PUBLISHED/data/case-studies/pskem-daily-model.json,chronological re-test input,7947,f3cf4a0ace80eabaa5f2bcc77ac7ed91851e295270a972323808aa9689bdd0c0,TRUE,FALSE
PUBLISHED/data/case-studies/elevation-profiles.csv,chronological re-test input,1976,26e681cf8e769ad8921abbd9d12f4530f8cee6f6e5ccfe70a0194eff51c86156,TRUE,FALSE
PIPELINES/build_pskem_daily_model.py,chronological re-test input,28858,ba571b92e1cc825807394a33a960617d5b8238cde1cfba93f954608278eaf29f,TRUE,FALSE
