entity_id,entity_type,label,domain_role,natural_connection,contributes_to_amu_syr,runoff_treatment,climate_treatment,hybas_id,main_basin,next_down,pfaf_id,area_km2,source_asset,retrieved_at
hybas:4070050360,basin,Closed-drainage sink 4610111,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070050360,4070050360,0,4610111,489.8,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070050540,basin,Closed-drainage sink 4610201,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070050540,4070050540,0,4610201,2.6,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070050960,basin,Closed-drainage sink 4610606,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070050960,4070050960,0,4610606,9648.5,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070051400,basin,Closed-drainage sink 4610408,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070051400,4070051400,0,4610408,6635.1,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070051420,basin,Closed-drainage sink 4610701,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070051420,4070051420,0,4610701,6397.5,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070051720,basin,Closed-drainage sink 4610501,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070051720,4070051720,0,4610501,5199.3,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070051930,basin,Closed-drainage sink 4610304,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070051930,4070051930,0,4610304,4496.7,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070052070,basin,Closed-drainage sink 4610402,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070052070,4070052070,0,4610402,4100.8,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070052550,basin,Closed-drainage sink 4610401,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070052550,4070052550,0,4610401,3262.1,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070052570,basin,Closed-drainage sink 4610800,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070052570,4070052570,0,4610800,4571.0,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070052710,basin,Closed-drainage sink 4610407,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070052710,4070052710,0,4610407,2927.3,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070052800,basin,Closed-drainage sink 4610602,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070052800,4070052800,0,4610602,2848.2,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070053010,basin,Closed-drainage sink 4610305,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070053010,4070053010,0,4610305,2653.4,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070053030,basin,Closed-drainage sink 4610303,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070053030,4070053030,0,4610303,5624.8,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070053630,basin,Closed-drainage sink 4610702,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070053630,4070053630,0,4610702,2173.7,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070053700,basin,Closed-drainage sink 4610502,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070053700,4070053700,0,4610502,2104.0,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070053720,basin,Closed-drainage sink 4610607,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070053720,4070053720,0,4610607,2072.9,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070053750,basin,Closed-drainage sink 4610703,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070053750,4070053750,0,4610703,2050.2,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070054170,basin,Closed-drainage sink 4610301,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070054170,4070054170,0,4610301,3586.9,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070054200,basin,Closed-drainage sink 4610503,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070054200,4070054200,0,4610503,1785.0,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070054440,basin,Closed-drainage sink 4610406,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070054440,4070054440,0,4610406,1673.9,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070054450,basin,Closed-drainage sink 4610504,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070054450,4070054450,0,4610504,1672.5,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070054780,basin,Closed-drainage sink 4610704,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070054780,4070054780,0,4610704,1512.8,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070055270,basin,Closed-drainage sink 4610306,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070055270,4070055270,0,4610306,1312.4,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070055360,basin,Closed-drainage sink 4610603,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070055360,4070055360,0,4610603,1276.2,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070055880,basin,Closed-drainage sink 4610308,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070055880,4070055880,0,4610308,1611.5,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070055920,basin,Closed-drainage sink 4610405,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070055920,4070055920,0,4610405,4812.1,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070055950,basin,Closed-drainage sink 4610505,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070055950,4070055950,0,4610505,1122.2,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070056730,basin,Closed-drainage sink 4610404,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070056730,4070056730,0,4610404,2117.5,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070056820,basin,Closed-drainage sink 4610307,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070056820,4070056820,0,4610307,2333.0,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070057090,basin,Closed-drainage sink 4610302,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070057090,4070057090,0,4610302,2718.0,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070057190,basin,Closed-drainage sink 4610506,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070057190,4070057190,0,4610506,850.4,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070059930,basin,Closed-drainage sink 4610705,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070059930,4070059930,0,4610705,509.9,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070060340,basin,Closed-drainage sink 4610507,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070060340,4070060340,0,4610507,480.5,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070060790,basin,Closed-drainage sink 4610409,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070060790,4070060790,0,4610409,1015.9,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070061130,basin,Closed-drainage sink 4610608,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070061130,4070061130,0,4610608,1101.9,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070062210,basin,Closed-drainage sink 4610601,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070062210,4070062210,0,4610601,356.9,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
hybas:4070063060,basin,Closed-drainage sink 4610706,non_contributing_internal_drainage,local_closed_sink,False,local_runoff_only,exposure_context,4070063060,4070063060,0,4610706,310.4,WWF/HydroATLAS/v1/Basins/level07,2026-09-08T10:57:35+00:00
