observation_unit_id,system_id,river_system_id,elevation_band,minimum_m_inclusive,maximum_m_exclusive,area_km2,year,month,period_start,variable,value,unit,statistic,source_asset,source_image,scale_m,quality,retrieved_at
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,10,2025-10-01,air_temperature_mean,13.17258,degC,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202510,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,10,2025-10-01,modelled_runoff_total,1.39067,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202510,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,10,2025-10-01,precipitation_total,5.87516,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202510,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,10,2025-10-01,snow_water_equivalent_mean,0.04602,mm,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202510,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,10,2025-10-01,snowfall_water_equivalent_total,0.74912,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202510,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,10,2025-10-01,soil_moisture_layer_1_mean,0.12594,m3/m3,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202510,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,11,2025-11-01,air_temperature_mean,4.92469,degC,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202511,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,11,2025-11-01,modelled_runoff_total,1.45380,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202511,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,11,2025-11-01,precipitation_total,18.00756,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202511,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,11,2025-11-01,snow_water_equivalent_mean,2.75653,mm,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202511,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,11,2025-11-01,snowfall_water_equivalent_total,10.33091,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202511,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,11,2025-11-01,soil_moisture_layer_1_mean,0.19500,m3/m3,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202511,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,12,2025-12-01,air_temperature_mean,2.89873,degC,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202512,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,12,2025-12-01,modelled_runoff_total,2.26229,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202512,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,12,2025-12-01,precipitation_total,76.03741,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202512,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,12,2025-12-01,snow_water_equivalent_mean,14.24793,mm,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202512,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,12,2025-12-01,snowfall_water_equivalent_total,44.29260,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202512,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2025,12,2025-12-01,soil_moisture_layer_1_mean,0.24544,m3/m3,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202512,11132,ok-reanalysis,2026-09-08T07:04:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,1,2026-01-01,air_temperature_mean,-2.24869,degC,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202601,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,1,2026-01-01,modelled_runoff_total,1.57990,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202601,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,1,2026-01-01,precipitation_total,51.72950,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202601,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,1,2026-01-01,snow_water_equivalent_mean,36.73389,mm,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202601,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,1,2026-01-01,snowfall_water_equivalent_total,45.47555,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202601,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,1,2026-01-01,soil_moisture_layer_1_mean,0.29338,m3/m3,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202601,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,2,2026-02-01,air_temperature_mean,3.88730,degC,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202602,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,2,2026-02-01,modelled_runoff_total,5.88733,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202602,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,2,2026-02-01,precipitation_total,73.27642,mm,monthly_sum,ECMWF/ERA5_LAND/MONTHLY_AGGR,202602,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,24997.000,2026,2,2026-02-01,snow_water_equivalent_mean,62.97943,mm,monthly_mean,ECMWF/ERA5_LAND/MONTHLY_AGGR,202602,11132,ok-reanalysis,2026-09-08T05:27:59+00:00
