glacier_id,system_id,river_system_id,basin_level,hybas_id,in_headwater_formation,area_km2,share_of_glacier_percent,is_primary_subbasin,method,retrieved_at
G071267E41618N,upper_syr_darya,syr_darya,10,4101291350,0,0.049975,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071272E41617N,upper_syr_darya,syr_darya,10,4100401640,0,0.024965,57.0929,1,vector_intersection,2026-09-08T06:55:17+00:00
G071272E41617N,upper_syr_darya,syr_darya,10,4101291350,0,0.018762,42.9071,0,vector_intersection,2026-09-08T06:55:17+00:00
G071284E41617N,upper_syr_darya,syr_darya,10,4100401640,0,0.158485,15.5344,0,vector_intersection,2026-09-08T06:55:17+00:00
G071284E41617N,upper_syr_darya,syr_darya,10,4101291350,0,0.840532,82.3877,1,vector_intersection,2026-09-08T06:55:17+00:00
G071284E41617N,upper_syr_darya,syr_darya,10,4101291520,0,0.021199,2.0779,0,vector_intersection,2026-09-08T06:55:17+00:00
G071284E41619N,upper_syr_darya,syr_darya,10,4101291350,0,0.053316,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071289E41616N,upper_syr_darya,syr_darya,10,4101291350,0,0.111232,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071292E41639N,upper_syr_darya,syr_darya,10,4101291350,0,0.045286,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071298E41629N,upper_syr_darya,syr_darya,10,4101291350,0,0.061748,41.5214,0,vector_intersection,2026-09-08T06:55:17+00:00
G071298E41629N,upper_syr_darya,syr_darya,10,4101291520,0,0.086966,58.4786,1,vector_intersection,2026-09-08T06:55:17+00:00
G071300E41654N,upper_syr_darya,syr_darya,10,4101291350,0,0.099422,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071303E41638N,upper_syr_darya,syr_darya,10,4101291350,0,0.016089,27.6451,0,vector_intersection,2026-09-08T06:55:17+00:00
G071303E41638N,upper_syr_darya,syr_darya,10,4101291520,0,0.042110,72.3549,1,vector_intersection,2026-09-08T06:55:17+00:00
G071310E41646N,upper_syr_darya,syr_darya,10,4101291520,0,0.078796,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071312E41655N,upper_syr_darya,syr_darya,10,4101291350,0,0.115576,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071316E41649N,upper_syr_darya,syr_darya,10,4101291350,0,0.001396,2.4821,0,vector_intersection,2026-09-08T06:55:17+00:00
G071316E41649N,upper_syr_darya,syr_darya,10,4101291520,0,0.054855,97.5179,1,vector_intersection,2026-09-08T06:55:17+00:00
G071320E41658N,upper_syr_darya,syr_darya,10,4101291350,0,0.208133,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071329E41666N,upper_syr_darya,syr_darya,10,4101291350,0,0.030629,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071334E41671N,upper_syr_darya,syr_darya,10,4101291350,0,0.084378,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071340E41670N,upper_syr_darya,syr_darya,10,4101291350,0,0.016722,37.6554,0,vector_intersection,2026-09-08T06:55:17+00:00
G071340E41670N,upper_syr_darya,syr_darya,10,4101291520,0,0.027686,62.3446,1,vector_intersection,2026-09-08T06:55:17+00:00
G071351E41674N,upper_syr_darya,syr_darya,10,4100391490,0,0.028676,18.3606,0,vector_intersection,2026-09-08T06:55:17+00:00
G071351E41674N,upper_syr_darya,syr_darya,10,4101291520,0,0.127508,81.6394,1,vector_intersection,2026-09-08T06:55:17+00:00
G071428E41768N,upper_syr_darya,syr_darya,10,4100391120,0,0.300070,42.2540,0,vector_intersection,2026-09-08T06:55:17+00:00
G071428E41768N,upper_syr_darya,syr_darya,10,4100402110,1,0.410088,57.7460,1,vector_intersection,2026-09-08T06:55:17+00:00
G071432E41750N,upper_syr_darya,syr_darya,10,4100402110,1,0.022577,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071434E41722N,upper_syr_darya,syr_darya,10,4100403590,1,0.025114,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
G071436E41728N,upper_syr_darya,syr_darya,10,4100402110,1,0.026173,100.0000,1,vector_intersection,2026-09-08T06:55:17+00:00
