glacier_id,system_id,river_system_id,elevation_band,minimum_m_inclusive,maximum_m_exclusive,area_km2,share_percent,method,scale_m,retrieved_at
G071267E41618N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.049975,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071272E41617N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.043728,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071284E41617N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.987257,96.7694,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071284E41617N,upper_syr_darya,syr_darya,gte_4000,4000,,0.032959,3.2306,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071284E41619N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.053316,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071289E41616N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.076148,68.4590,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071289E41616N,upper_syr_darya,syr_darya,gte_4000,4000,,0.035084,31.5410,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071292E41639N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.045286,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071298E41629N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.148714,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071300E41654N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.099422,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071303E41638N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.023753,40.8128,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071303E41638N,upper_syr_darya,syr_darya,gte_4000,4000,,0.034447,59.1872,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071310E41646N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.078796,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071312E41655N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.115576,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071316E41649N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.056251,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
G071320E41658N,upper_syr_darya,syr_darya,3000_4000,3000,4000,0.208133,100.0000,srtm_band_mask_rescaled_to_vector_area,30,2026-09-08T06:55:17+00:00
