observation_unit_id,system_id,river_system_id,elevation_band,minimum_m_inclusive,maximum_m_exclusive,glacier_count,glacier_area_km2,band_area_km2,glacier_share_of_band_percent,share_of_system_glacier_area_percent,source_asset,survey_date_min,survey_date_max,scale_m,retrieved_at
upper_amu_darya::1000_2000,upper_amu_darya,amu_darya,1000_2000,1000,2000,0,0.0000,24997.000,0.0000,0.0000,GLIMS/20230607,1994-07-01,2009-10-02,30,2026-09-08T07:47:25+00:00
upper_amu_darya::2000_3000,upper_amu_darya,amu_darya,2000_3000,2000,3000,1,3.7038,30239.427,0.0122,0.0333,GLIMS/20230607,1994-07-01,2009-10-02,30,2026-09-08T07:47:25+00:00
upper_amu_darya::3000_4000,upper_amu_darya,amu_darya,3000_4000,3000,4000,1210,650.6630,47774.743,1.3619,5.8509,GLIMS/20230607,1994-07-01,2009-10-02,30,2026-09-08T07:47:25+00:00
upper_amu_darya::gte_4000,upper_amu_darya,amu_darya,gte_4000,4000,,19522,10466.3200,70712.226,14.8013,94.1158,GLIMS/20230607,1994-07-01,2009-10-02,30,2026-09-08T07:47:25+00:00
upper_amu_darya::lt_1000,upper_amu_darya,amu_darya,lt_1000,,1000,0,0.0000,24899.208,0.0000,0.0000,GLIMS/20230607,1994-07-01,2009-10-02,30,2026-09-08T07:47:25+00:00
upper_syr_darya::1000_2000,upper_syr_darya,syr_darya,1000_2000,1000,2000,0,0.0000,20676.320,0.0000,0.0000,GLIMS/20230607,1994-08-18,2009-07-01,30,2026-09-08T07:47:25+00:00
upper_syr_darya::2000_3000,upper_syr_darya,syr_darya,2000_3000,2000,3000,4,0.3778,31182.300,0.0012,0.0254,GLIMS/20230607,1994-08-18,2009-07-01,30,2026-09-08T07:47:25+00:00
upper_syr_darya::3000_4000,upper_syr_darya,syr_darya,3000_4000,3000,4000,1538,469.3390,28500.299,1.6468,31.5170,GLIMS/20230607,1994-08-18,2009-07-01,30,2026-09-08T07:47:25+00:00
upper_syr_darya::gte_4000,upper_syr_darya,syr_darya,gte_4000,4000,,2972,1019.4452,3704.812,27.5168,68.4576,GLIMS/20230607,1994-08-18,2009-07-01,30,2026-09-08T07:47:25+00:00
upper_syr_darya::lt_1000,upper_syr_darya,syr_darya,lt_1000,,1000,0,0.0000,11355.140,0.0000,0.0000,GLIMS/20230607,1994-08-18,2009-07-01,30,2026-09-08T07:47:25+00:00
