hyriv_id,system_id,in_national_extraction,hybas_id_level12,connectivity_status_index,free_flowing_class,free_flowing_class_3,degree_of_fragmentation,degree_of_regulation,sediment_trapping,water_consumption,urbanisation,road_density,floodplain_index,river_order,average_discharge_cms,basin_name,backbone_river,backbone_length_km,source_asset,retrieved_at
40120802,syr_darya,0,4121213510,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.61,10,0.0000,Syr Darya,,145.35,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40120803,syr_darya,0,4121213510,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,0.0000,Syr Darya,,3.01,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40120901,syr_darya,0,4121213630,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,0.0000,Syr Darya,,1.62,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40120902,syr_darya,0,4121213630,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,0.0000,Syr Darya,,67.46,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121212,syr_darya,0,4120204180,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,0.0000,Syr Darya,,179.16,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121213,syr_darya,0,4120204180,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,0.0000,Syr Darya,,2.22,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121440,syr_darya,0,4120204180,99.92,1,free-flowing,0.00,0.00,0.00,0.00,0.00,1.65,0.00,10,0.0000,Syr Darya,,8.59,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121441,syr_darya,0,4120204180,99.91,1,free-flowing,0.00,0.00,0.00,0.00,0.00,1.75,0.00,10,0.0000,Syr Darya,,2.52,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121541,syr_darya,0,4121213630,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,1.49,10,0.0000,Syr Darya,,67.46,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121542,syr_darya,0,4121213630,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,0.0000,Syr Darya,,7.67,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121652,syr_darya,0,4121213730,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,0.0000,Syr Darya,,2.84,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121789,syr_darya,0,4121213580,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,1.01,10,0.0000,Syr Darya,,4.61,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
40121907,syr_darya,0,4121213730,100.00,1,free-flowing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,0.0000,Syr Darya,,24.30,Free-Flowing Rivers v1.0,2026-09-08T19:07:34+00:00
