plant_id,hyriv_id,system_id,dilution_factor,wastewater_discharge_m3_d,river_discharge_cms,population_served,method,retrieved_at
56079,40397435,amu_darya,410.484,16722.777,102.4040,886060,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56258,40317701,syr_darya,328.645,62458.197,236.8530,837451,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56288,40314925,syr_darya,350.384,58423.328,236.2520,783351,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56252,40318321,syr_darya,505.679,40568.602,236.9690,543951,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56171,40338010,syr_darya,122.316,8310.069,12.5350,409158,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56197,40325527,syr_darya,215.771,29636.243,73.6690,397368,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56213,40324333,syr_darya,1634.470,24036.674,454.4350,322288,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56244,40318206,syr_darya,1328.633,15549.925,238.9420,208496,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56307,40318207,syr_darya,11.396,14369.766,1.7290,192673,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56208,40323239,syr_darya,197.857,3840.804,9.4010,189107,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56080,40398017,amu_darya,148.923,2999.849,6.6360,158948,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56227,40319897,syr_darya,156.852,10807.498,19.4950,144909,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56046,40414321,amu_darya,17457.061,2575.143,672.2320,136445,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56346,40310998,syr_darya,2140.233,9449.168,233.9580,126696,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56311,40315068,syr_darya,21.834,9413.926,2.2700,126224,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56154,40345239,syr_darya,4074.521,8422.317,397.0890,112928,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
56223,40319626,syr_darya,29.891,7174.346,2.3990,96195,native HydroWASTE HYRIV_ID at the estimated outfall,2026-09-08T19:06:29+00:00
